chr	start	stop	DmelID	chr.1	start.1	stop.1	CAD_CRMs	Meso	VM	SM	Dmel_Twi_TP1	Dmel_Twi_TP2	Dmel_Twi_TP3	Dmel_Tin_TP2	Dmel_Tin_TP3	Dmel_Mef2_TP1	Dmel_Mef2_TP2	Dmel_Mef2_TP3	Dmel_Mef2_TP4	Dmel_Mef2_TP5	Dmel_Bap_TP3	Dmel_Bin_TP3	Dmel_Bin_TP4	Dmel_Bin_TP5
3R	9274717	9274978	MesoCRM-2194	chr3R	9274396	9274937	VT41037.1	0	1	0	0.385280769	0.228393839	0.361264724	0.325654323	0.476372865	0.409919938	0.261324191	0.29927824	0.521244469	0.515212896	0.651473415	0.703594312	0.851992199	0.844740698
3R	9276096	9276433	MesoCRM-2195	chr3R	9275884	9276457	VT41037.2	0	1	0	0.510292082	0.576600839	0.56658784	0.517478102	0.606292738	0.614879907	0.622200455	0.614036389	0.518213978	0.491882501	0.552545971	0.45357495	0.370326155	0.267986704
3R	9719409	9719783	MesoCRM-2225	chr3R	9719429	9721653	ems_5-fragmentVII	1	0	0	0.543081934	0.726367291	0.50161217	0.785139189	0.370812969	0.340595242	0.552514004	0.180598938	0.169707501	0.124428775	0.487398629	0.219043512	0.331599236	0.240799647
3R	10415381	10415780	MesoCRM-2300	chr3R	10414437	10416493	stumps_ventralblastoderm	1	0	0	0.991893042	0.992202743	0.790104144	0.992576532	0.852599162	0.774628118	0.881035844	0.59339651	0.312140583	0.470496305	0.62734477	0.373922763	0.525233827	0.277696367
3R	10423022	10423395	MesoCRM-2305	chr3R	10423059	10424098	stumps_hbr_early	1	0	0	0.489798424	0.466148081	0.597776161	0.419335703	0.652306026	0.605837555	0.515181976	0.632096283	0.439421209	0.462719507	0.526004461	0.415961417	0.464723017	0.334012414
3R	10917276	10917839	MesoCRM-2343	chr3R	10917246	10917869	Unspecified_2343	0	0	1	0.500045253	0.692669839	0.444433581	0.350189923	0.687492658	0.635978727	0.589846031	0.799795297	1	0.94099261	0.830025388	0.750058088	0.936707332	0.829205236
3R	10947346	10947803	MesoCRM-2347	chr3R	10947245	10947852	Unspecified_2347	0	1	0	0.383231403	0.254602968	0.402849152	0.265430578	0.714559298	0.521442274	0.340965849	0.479877178	0.703073935	0.697967659	0.776942369	0.851835881	1	0.943779262
3R	11135545	11135812	MesoCRM-2366	chr3R	11135429	11135957	VT42009.1	0	0	1	0.331997258	0.34633492	0.223516304	0.240894979	0.354572985	0.762571649	0.741662942	0.761095524	1	0.937104211	0.521178732	0.296483138	0.350962695	0.367025269
3R	11746769	11747051	MesoCRM-2415	chr3R	11746514	11748343	CG4221	1	0	0	0.688586906	0.522310501	0.483418983	0.497403521	0.343746329	0.747501063	0.517670778	0.446337375	0.506092013	0.569650485	0.639409093	0.449149828	0.292872318	0.388386528
3R	11747565	11747857	MesoCRM-2416	chr3R	11746514	11748343	CG4221	1	0	0	0.877128558	0.881749985	0.623766429	0.684766282	0.378932961	0.699275188	0.706819716	0.22445868	0.212134377	0.223582955	0.513940139	0.298695699	0.360644425	0.190309399
2R	4685580	4685903	MesoCRM-242	chr2R	4685273	4686030	sns	0	0	1	0.579970519	0.604682049	0.657553777	0.892203624	0.987932363	0.756543415	0.963166304	0.841075054	0.890964383	0.711577056	1	0.814222349	0.585744637	0.483541227
3R	12517175	12517562	MesoCRM-2487	chr3R	12516912	12517690	VT42741.1	0	0	1	0.612760371	0.784401791	0.847282733	0.923430751	0.874252475	1	1	0.933954508	0.681860497	0.487994101	0.567023158	0.486763361	0.527654259	0.320418885
3R	12526840	12527040	MesoCRM-2488	chr3R	12526436	12527540	Ubx_R4	1	0	0	0.702932466	0.374416129	0.371660831	0.289966178	0.319386353	0.611865789	0.236436173	0.198658832	0.169707501	0.274132145	0.472921442	0.269932409	0.389689614	0.211670658
3R	12562820	12563132	MesoCRM-2495	chr3R	12562225	12564362	VT42767.1	0	1	0	0.401675695	0.308893307	0.252105598	0.272122105	0.395172945	0.467188164	0.248880182	0.203818801	0.460634647	0.484105702	0.523591597	0.734570162	0.897980414	0.895230946
3R	12570955	12571155	MesoCRM-2498	chr3R	12570853	12571247	Ubx_2218S	1	0	0	0.502094619	0.505461775	0.259902679	0.318962796	0.387052953	0.55761168	0.288701011	0.22445868	0.284866163	0.423835514	0.57908748	0.340734352	0.343701398	0.388386528
3R	12575840	12576123	MesoCRM-2500	chr3R	12575379	12576270	Ubx_2218R6	0	1	0	0.541032569	0.675821114	0.483418983	0.653539155	0.454719553	0.792712821	0.843703816	0.773995448	0.545488398	0.338290732	0.600803261	0.354009717	0.360644425	0.20584486
3R	12704607	12704869	MesoCRM-2531	chr3R	12704133	12705380	Abd-B_R15	1	0	0	0.723426124	0.514822178	0.439235527	0.452793339	0.58734609	1	0.472872345	0.348297952	0.369719914	0.262466947	0.439141339	0.340734352	0.476825179	0.302941492
3R	12721666	12721866	MesoCRM-2535	chr3R	12721540	12723378	VT42834.1	0	1	0	0.387330134	0.357567404	0.405448179	0.245355997	0.346452993	0.611865789	0.333499444	0.157379074	0.342445494	0.4957709	0.899998459	0.497826164	0.641414581	0.314593087
3R	12730698	12730935	MesoCRM-2537	chr3R	12729977	12732048	VT42839.1	0	1	0	0.442663011	0.370671968	0.50940925	0.314501778	0.625239386	0.539526977	0.204081749	0.386997724	0.269713708	0.355788528	0.673189196	1	0.999638574	0.885521283
3R	13074873	13075498	MesoCRM-2565	chr3R	13074850	13075518	Unspecified_2565	0	0	1	0.606612274	0.554135872	0.745920688	0.350189923	0.66854601	0.747501063	0.482827553	0.851394993	0.809141123	0.690190861	0.728685079	0.789884181	0.98511598	0.926301868
3R	13875845	13876198	MesoCRM-2613	chr3R	13875664	13876238	htl	1	0	0	1	0.990330662	1	0.695918827	0.373519633	0.620908141	0.76655096	0.495357087	0.566701835	0.449110109	0.528417326	0.384985567	0.505870368	0.320418885
3R	13907016	13907216	MesoCRM-2619	chr3R	13906770	13907770	htl_shadow	1	0	0	0.721376758	0.213417194	0.301487107	0.234203451	0.435772905	0.412934055	0.184171335	0.07481956	0.266683217	0.293574141	0.313672385	0.316396184	0.295292751	0.219438388
3R	16374981	16375181	MesoCRM-2753	chr3R	16374933	16376470	Stat92E_Mesos	0	1	0	0.450860474	0.514822178	0.553592706	0.129369526	0.354572985	0.467188164	0.49278276	0.30443821	0.409116298	0.674637264	0.593564667	0.420386539	0.542176854	0.458296103
3R	16376083	16376629	MesoCRM-2754	chr3R	16374933	16376470	Stat92E_Mesos	0	1	0	0.8566349	0.848052533	0.847282733	0.827518862	0.741625938	0.756543415	0.617222851	0.637256252	0.660647059	0.534654892	0.65388628	0.820860031	0.73097058	0.704921548
3R	17205697	17205938	MesoCRM-2806	chr3R	17205819	17206001	tin_tinB-180	1	0	0	0.981646214	0.943528646	0.537998545	0.559857774	0.433066241	0.491301102	0.500249165	0.214138741	0.22122585	0.373286325	0.43431561	0.309758502	0.36548529	0.225264186
3R	17216752	17217076	MesoCRM-2812	chr3R	17216733	17217197	bap_bap3_NR	1	0	0	0.606612274	0.604682049	0.696539179	0.892203624	0.508852833	0.575696383	0.62966686	0.126419257	0.245469779	0.344123331	0.554958835	0.39383581	0.244463671	0.297115694
3R	17218784	17219068	MesoCRM-2814	chr3R	17218153	17220392	bap_FHVME	0	1	0	0.715228661	0.78065763	0.821292465	0.602237446	0.416826257	0.491301102	0.609756445	0.343137982	0.336384512	0.351900129	0.82037393	0.5465025	0.300133615	0.376734932
3R	17219506	17219797	MesoCRM-2816	chr3R	17218719	17219552	VT45198.2	1	0	0	0.235677066	0.267707533	0.285892947	0.441640794	0.530506146	0.5787105	0.395719489	0.412797572	0.369719914	0.305239338	0.878282678	0.873961488	0.825367442	0.704921548
3R	17220676	17220876	MesoCRM-2817	chr3R	17220123	17222397	VT45200.1	0	1	0	0.385280769	0.526054662	0.434037474	0.443871303	0.387052953	0.373750532	0.415629904	0.242518574	0.318201565	0.161368567	0.714207892	0.783246498	0.684982364	0.613650714
3R	17220956	17221156	MesoCRM-2818	chr3R	17220123	17222397	VT45200.1	0	1	0	0.270516284	0.121685242	0.28329392	0.296657705	0.481786193	0.283327016	0.233947371	0.214138741	0.30304911	0.34801173	0.5573717	0.708019434	0.692243661	0.66996676
3R	17222494	17222833	MesoCRM-2819	chr3R	17222445	17222872	Unspecified_2819	0	1	0	0.284861845	0.468020162	0.475621902	0.47509843	0.822825858	0.509385805	0.425585111	0.361197876	0.430329736	0.530766493	0.996513039	1	1	0.967082454
3R	17227574	17227958	MesoCRM-2820	chr3R	17227305	17229279	lbl	1	0	0	0.600464177	0.720751049	0.384655965	1	0.592759418	0.626936375	0.749129347	0.227038665	0.272744199	0.211917757	0.456031391	0.475700557	0.404212208	0.403921989
3R	17228198	17228402	MesoCRM-2821	chr3R	17227305	17229279	lbl	1	0	0	0.229528969	0.494229291	0.376858884	0.361342468	0.297733041	0.403891703	0.211548155	0.250258528	0.348506476	0.174977965	0.50911441	0.668193341	0.641414581	0.759295661
3R	17252457	17252720	MesoCRM-2824	chr3R	17251862	17253221	lbl_SBM	0	0	1	0.270516284	0.396881097	0.600375188	0.305579741	0.449306225	0.711331657	0.405674696	0.482457163	0.60609822	0.647418469	0.682840654	0.977951843	1	0.887463216
3R	17269110	17269440	MesoCRM-2825	chr3R	17268488	17269550	lbe/lbl	0	0	1	0.385280769	0.673949033	0.649756697	0.976962969	1	0.617894024	0.761573356	0.549536768	0.324262547	0.211917757	0.629757635	0.356222278	0.288031454	0.223322253
3R	17879012	17879304	MesoCRM-2893	chr3R	17878987	17879338	Unspecified_2893	0	0	1	0.188541653	0.331358275	0.223516304	0.305579741	0.568399442	0.551583446	0.495271562	0.601136465	0.900055856	0.863224626	0.690079247	1	1	1
2R	5569256	5569456	MesoCRM-294	chr2R	5569046	5569416	VT14211.2	0	0	1	0.291009942	0.226521758	0.431438447	0.234203451	0.500732841	0.590766969	0.385764282	0.410217588	0.345475985	0.221638755	0.547720242	0.223468634	0.266247562	0.332070481
3R	18855131	18855611	MesoCRM-2949	chr3R	18854363	18855948	lmd	0	1	0	0.321750429	0.385648613	0.803099277	0.73606799	0.917559099	0.55761168	0.579890824	0.567596662	0.515183487	0.563817886	0.902411323	0.949188553	0.73097058	0.584521724
3R	18855774	18855974	MesoCRM-2950	chr3R	18854363	18855948	lmd	0	1	0	0.352490916	0.333230355	0.735524581	0.624542537	0.841772506	0.590766969	0.480338751	0.634676268	0.542457907	0.460775307	0.791419556	0.854048442	0.697084526	0.510728284
3R	18960534	18960853	MesoCRM-2963	chr3R	18960440	18961852	hh-PR	0	1	0	0.541032569	0.413729823	0.267699759	0.365803486	0.673959338	0.735444594	0.181682533	0.265738437	0.387902861	0.402449319	0.716620757	0.834135395	0.902821279	0.80201818
3R	19123801	19124001	MesoCRM-2978	chr3R	19123692	19125059	VT46196.1	0	1	0	0.393478232	0.454915597	0.36386375	0.334576359	0.495319513	0.322510539	0.343454651	0.185758908	0.178798975	0.367453726	0.878282678	0.630579808	0.239622806	0.291289896
3R	19124272	19124472	MesoCRM-2979	chr3R	19123692	19125059	VT46196.1	0	1	0	0.247973261	0.46240392	0.439235527	0.466176394	0.484492857	0.479244633	0.283723407	0.21929871	0.296988128	0.309127738	0.576674616	0.834135395	0.634153284	0.555392734
3R	19124599	19124815	MesoCRM-2980	chr3R	19123692	19125059	VT46196.1	0	1	0	0.42831745	0.574728759	0.410646232	0.455023848	0.454719553	0.385807	0.462917138	0.245098559	0.266683217	0.34606753	0.586326074	0.765546013	0.530074692	0.421399382
3R	19169479	19169947	MesoCRM-2989	chr3R	19169302	19169916	pnt_4105	1	0	0	0.928362703	0.917319517	1	0.805213771	0.725385954	0.967531618	1	0.810115236	0.533366433	0.342179131	0.567023158	0.681468705	0.382428316	0.359257538
2R	5601726	5601937	MesoCRM-302	chr2R	5601033	5602440	dap_dap-B	0	1	0	0.582019884	0.526054662	0.667949885	0.383647558	0.56027945	0.452117578	0.482827553	0.51857695	0.339415003	0.486049902	0.492224358	0.305333381	0.312235777	0.200019062
2R	5602079	5602279	MesoCRM-303	chr2R	5601033	5602440	dap_dap-B	0	1	0	0.854585535	0.424962307	0.496414117	0.370264504	0.246306425	0.46115993	0.333499444	0.278638361	0.342445494	0.173033765	0.306433792	0.300908259	0.563960745	0.211670658
3R	21865474	21865896	MesoCRM-3170	chr3R	21864876	21866138	E(spl)_WT_SF-SR	1	0	0	0.612760371	0.776913469	0.985031153	0.662461191	0.562986114	0.629950493	0.754106951	0.619196359	0.360628441	0.270243745	0.559784564	0.387198128	0.31465621	0.198077129
2R	5820983	5821183	MesoCRM-319	chr2R	5820675	5821741	Mef2_II-A	0	0	1	0.35044155	0.556007952	0.319680295	0.45056283	0.384346289	0.614879907	0.326033038	0.340557997	0.418207772	0.664916266	0.4825729	0.710231994	0.563960745	0.464121901
3R	22528009	22528209	MesoCRM-3190	chr3R	22526267	22528511	VT47967.1	0	1	0	0.18034419	0.587833323	0.293690027	0.129369526	0.362692977	0.581724618	0.201592947	0.175438968	0.366689423	0.437444912	0.504288681	0.223468634	0.421155235	0.359257538
2R	5821186	5821679	MesoCRM-320	chr2R	5820675	5821741	Mef2_II-A	0	0	1	0.60866164	0.718878968	0.649756697	0.644617119	0.652306026	0.590766969	0.619711653	0.577916601	0.493970049	0.604646078	0.776942369	1	0.663198473	0.574812061
3R	22708601	22708932	MesoCRM-3203	chr3R	22707642	22709469	T48	1	0	0	0.961152556	0.919191598	0.717331393	0.553166247	0.476372865	0.497329336	0.530114787	0.325078088	0.33032353	0.29746254	0.533243055	0.396048371	0.377587452	0.310709222
3R	22714315	22714704	MesoCRM-3205	chr3R	22714298	22732949	T48_D5E	0	0	1	0.45290984	0.449299355	0.423641366	0.276583124	0.473666201	0.446089344	0.226480965	0.239938589	0.436390718	0.540487491	0.441554204	0.537652257	0.866514793	0.807843977
3R	22714939	22715139	MesoCRM-3206	chr3R	22714298	22732949	T48_D5E	0	0	1	0.399626329	0.185335984	0.317081268	0.312271268	0.473666201	0.316482305	0.099552073	0.190918877	0.536396924	0.653251068	0.53083019	0.427024221	0.520392962	0.66219903
3R	22717780	22717980	MesoCRM-3207	chr3R	22714298	22732949	T48_D5E	0	0	1	0.317651697	0.278940016	0.408047206	0.205206834	0.316679689	0.373750532	0.209059353	0.22961865	0.390933352	0.631864872	0.501875816	0.325246427	0.462302585	0.217496455
2R	5821730	5821980	MesoCRM-321	chr2R	5821283	5822314	VT14337.1	0	0	1	0.666043882	0.518566339	0.660152804	0.495173011	0.511559497	0.406905821	0.365853867	0.451497345	0.506092013	0.254690149	0.822786795	0.528802015	0.297713183	0.471889631
2R	5821987	5822187	MesoCRM-322	chr2R	5821433	5823168	Mef2_II-B[L]_NR	0	0	1	0.543081934	0.400625258	0.600375188	0.327884832	0.408706265	0.494315219	0.350921056	0.44375739	0.451543174	0.278020544	0.398122643	0.398260931	0.428416532	0.42722518
3R	23485028	23485266	MesoCRM-3237	chr3R	23484453	23485348	VT48458.1	0	0	1	0.366836476	0.293916662	0.189728956	0.256508542	0.184053153	0.473216399	0.281234605	0.353457921	0.839446034	0.931271612	0.511527274	0.238956559	0.413893937	0.502960553
2R	5825244	5825692	MesoCRM-326	chr2R	5825183	5826221	Mef2_-9117/-8079	0	0	1	0.432416182	0.544775468	0.517206331	0.497403521	0.665839346	0.67516225	0.659532482	0.730135706	0.736409337	0.64547427	0.854154033	0.475700557	0.544597286	0.526263745
2R	5825713	5826107	MesoCRM-327	chr2R	5825183	5826221	Mef2_-9117/-8079	0	0	1	0.534884471	0.72262313	0.800500251	0.352420432	0.468252873	0.617894024	0.550025202	0.479877178	0.603067729	0.530766493	0.706969299	0.743420405	0.733391012	0.716573143
2R	5865111	5865311	MesoCRM-333	chr2R	5865091	5866986	eve_1.7-lacZ	1	0	0	0.680389442	0.286428339	0.337873482	0.21412887	0.424946249	0.672148133	0.151816911	0.134159211	0.296988128	0.338290732	0.468095713	0.254444484	0.336440101	0.21361259
2R	5871418	5871618	MesoCRM-334	chr2R	5871403	5872203	eve_stripe4_6	1	0	0	0.479551595	0.350079081	0.27549684	0.263200069	0.414119593	0.72941636	0.271279398	0.190918877	0.345475985	0.4938267	0.390884049	0.325246427	0.232361509	0.372851067
2R	5872737	5872956	MesoCRM-335	chr2R	5872789	5873261	eve_MHE_NR	0	0	1	0.377083305	0.4062415	0.233912411	0.52193912	0.54674613	0.663105782	0.497760364	0.474717208	0.697012953	0.668804665	0.46085712	0.376135324	0.447779991	0.407805854
3R	26000550	26000777	MesoCRM-3373	chr3R	26000270	26001748	Mlc2	0	0	1	0.266417553	0.17223142	0.309284188	0.149444107	0.341039665	0.464174047	0.408163498	0.469557239	0.85459849	0.814619636	0.451205662	0.462425193	0.72128885	0.852508428
3R	26000844	26001044	MesoCRM-3374	chr3R	26000270	26001748	Mlc2	0	0	1	0.358639013	0.189080145	0.486018009	0.113755962	0.557572786	0.346623477	0.365853867	0.397317663	0.709134917	0.777679843	0.311259521	0.431449342	0.583324204	0.730166672
3R	26580634	26581011	MesoCRM-3407	chr3R	26580595	26581061	Unspecified_3407	1	0	0	0.983695579	0.825587565	0.886268135	0.566549301	0.419532921	0.834910462	0.724241329	0.392157694	0.366689423	0.340234931	0.506701545	0.431449342	0.300133615	0.442760641
2R	5988313	5988513	MesoCRM-341	chr2R	5987719	5989610	14-3-3zeta_upstream	0	0	1	0.567674324	0.539159226	0.470423849	0.470637412	0.479079529	0.48225875	0.345943453	0.381837755	0.345475985	0.381063123	0.484985765	0.358434838	0.501029503	0.49325089
3R	26595914	26596265	MesoCRM-3415	chr3R	26595416	26596375	VT50113.1	1	0	0	0.911967777	0.969737775	1	1	0.966279051	1	1	0.936534492	0.77277523	0.478273103	0.825199659	0.376135324	0.469563882	0.330128548
3R	26607681	26608014	MesoCRM-3418	chr3R	26607537	26608051	VT50121.1	0	1	0	0.5451313	0.537287146	0.530201465	0.646847628	0.863425818	0.533498743	0.597312436	0.531476875	0.448512683	0.513268696	1	1	0.835049172	0.860276159
3R	26608363	26608619	MesoCRM-3419	chr3R	26608340	26608657	VT50121.2	0	1	0	0.778759	0.687053597	0.613370322	0.394800104	0.552159458	0.488286985	0.363365065	0.263158452	0.393963843	0.470496305	0.644234822	0.550927622	0.716447985	0.69909575
2R	5988565	5988765	MesoCRM-342	chr2R	5987719	5989610	14-3-3zeta_upstream	0	0	1	0.50619335	0.514822178	0.582182001	0.468406903	0.422239585	0.5787105	0.415629904	0.472137223	0.427299245	0.54243169	0.545307377	0.400473492	0.607528528	0.425283248
